county_name,state_name,fips,area_ha,farm_cnt,farm_area_mean_ac,farm_area_km2,corn_planted_ac,soy_planted_ac,corn_harvest_ac,corn_harvest_ha,soy_harvest_ac,soy_harvest_ha,corn_yield_bu_per_ac,corn_yield_kg_per_ha,soy_yield_bu_per_ac,soy_yield_kg_per_ha,corn_econ_loss_usd,soy_econ_loss_usd,farm_econ_loss_mean_usd,farm_econ_loss_min_usd,farm_econ_loss_max_usd,econ_loss_mean_usd,econ_loss_min_usd,econ_loss_max_usd,econ_loss_usd_per_ha,econ_loss_usd_per_km2,topsoil_loss_km2,topsoil_loss_frac,topsoil_loss_error_frac,state_econ_loss_usd,state_topsoil_loss_frac
Goodhue,Minnesota,27049,125941.84,1536,259,1259.4184,156000,97300,146920,59502.6,96560,39106.8,195,12229.62963,57,3828.148148,4005523.687,2024285.827,5022.134574,4419.478425,5624.790723,6029809.514,5306232.373,6753386.656,47.87773082,464.5950704,464.5950704,0.368896524,0.138049941,548010849,0.331224973
Houston,Minnesota,27055,58455.2512,920,249,584.552512,60120,29866,49680,20120.4,29666,12014.73,185,11602.46914,52,3492.345679,1533796.583,677224.6144,3814.378144,3356.652767,4272.103522,2211021.197,1945698.653,2476343.741,37.82416723,257.3942088,257.3942088,0.440326923,0.147298867,548010849,0.331224973
Mower,Minnesota,27099,158199.9888,1053,427,1581.999888,206700,153700,201880,81761.4,152740,61859.7,195,12229.62963,55,3693.82716,4357076.373,2445899.956,7436.616907,6544.222878,8329.010936,6802976.329,5986619.169,7619333.488,43.00238186,461.9920514,461.9920514,0.292030394,0.117486731,548010849,0.331224973
Olmsted,Minnesota,27109,113204.7552,1150,230,1132.047552,123600,75440,114640,46429.2,74940,30350.7,194,12166.91358,55,3693.82716,3119467.014,1520809.501,3818.22969,3360.042127,4276.417253,4640276.515,4083443.333,5197109.697,40.99012013,418.9555523,418.9555523,0.370086532,0.137939168,548010849,0.331224973
Wabasha,Minnesota,27157,76843.8624,909,270,768.438624,94660,40050,80880,32756.4,39750,16098.75,193,12104.19753,56,3760.987654,2444085.487,916851.6035,4782.665256,4208.745425,5356.585086,3360937.09,2957624.639,3764249.541,43.73722227,317.4591991,317.4591991,0.413122388,0.145030268,548010849,0.331224973
Winona,Minnesota,27169,76320.9856,1115,249,763.209856,83040,30050,68720,27831.6,29775,12058.875,191,11978.76543,54,3626.666667,2088623.729,673046.6516,3649.070401,3211.181953,4086.958849,2761670.381,2430269.935,3093070.826,36.18494126,320.4412741,320.4412741,0.419859979,0.144385099,548010849,0.331224973
Adair,Missouri,29001,63744.064,822,332,637.44064,17266,42250,16466,6668.73,41650,16868.25,159,9971.851852,51,3425.185185,417722.9674,891547.0128,2761.738592,2430.329961,3093.147223,1309269.98,1152157.583,1466382.378,20.53948082,268.3512716,268.3512716,0.42098237,0.148685561,83119802,0.405604163
Andrew,Missouri,29003,69558.96,826,240,695.5896,57766,67500,56366,22828.23,67133,27188.865,161,10097.28395,48,3223.703704,1446843.61,1351486.585,3910.318598,3441.080366,4379.556829,2798330.195,2462530.571,3134129.818,40.2296152,292.6121589,292.6121589,0.420667817,0.145389049,83119802,0.405604163
Atchison,Missouri,29005,101127.232,395,666,1011.27232,138750,126875,136225,55171.125,126125,51080.625,178,11163.45679,52,3492.345679,3569711.817,2539901.118,16295.76786,14340.27572,18251.26,6109612.936,5376459.383,6842766.488,60.41511089,392.8124537,392.8124537,0.388433902,0.140847187,83119802,0.405604163
Audrain,Missouri,29007,139110.7136,1015,430,1391.107136,104980,144860,100460,40686.3,144140,58376.7,154,9658.271605,46,3089.382716,1926237.545,2171672.073,5130.093445,4514.482232,5745.704658,4097909.618,3606160.464,4589658.772,29.45790092,457.0011756,457.0011756,0.328516161,0.125827349,83119802,0.405604163
Boone,Missouri,29019,73106.9104,1171,206,731.069104,22300,42800,21400,8667,42466,17198.73,160,10034.5679,42,2820.740741,523248.933,717003.3578,1415.382596,1245.536684,1585.228507,1240252.291,1091422.016,1389082.566,16.96491185,294.7771501,294.7771501,0.403213798,0.141398408,83119802,0.405604163
Buchanan,Missouri,29021,49712.7024,727,260,497.127024,49200,56225,47000,19035,55375,22426.875,159,9971.851852,48,3223.703704,1127212.559,1054682.552,4621.626748,4067.031538,5176.221958,2181895.111,1920067.697,2443722.524,43.89009258,197.8513412,197.8513412,0.397989511,0.142241328,83119802,0.405604163
Caldwell,Missouri,29025,74798.8816,1035,236,747.988816,20100,48400,18725,7583.625,47925,19409.625,164,10285.4321,45,3022.222222,495191.8453,914825.7775,1801.758014,1585.547053,2017.968976,1410017.623,1240815.508,1579219.737,18.85078483,318.2465498,318.2465498,0.425469663,0.146367065,83119802,0.405604163
Carroll,Missouri,29033,125811.2,1112,388,1258.112,90866,123400,88533,35855.865,122500,49612.5,157,9846.419753,43,2887.901235,1994150.078,1987986.812,4973.746303,4376.896747,5570.59586,3982136.89,3504280.463,4459993.317,31.65168832,476.2479302,476.2479302,0.37854176,0.136466475,83119802,0.405604163
Chariton,Missouri,29041,128234.7376,1120,363,1282.347376,79533,121725,77233,31279.365,119475,48387.375,168,10536.2963,43,2887.901235,1840696.264,1917217.513,4308.268604,3791.276371,4825.260836,3757913.777,3306964.124,4208863.43,29.30495938,479.9946777,479.9946777,0.374309401,0.135954626,83119802,0.405604163
Clay,Missouri,29047,48465.8912,578,191,484.658912,14100,23700,13500,5467.5,23500,9517.5,160,10034.5679,47,3156.54321,348191.9906,468367.438,1303.286766,1146.892354,1459.681178,816559.4285,718572.2971,914546.5599,16.84812573,206.1398799,206.1398799,0.425329804,0.144832303,83119802,0.405604163
Clinton,Missouri,29049,74957.0496,758,253,749.570496,42080,50425,40960,16588.8,50150,20310.75,150,9407.407407,45,3022.222222,990349.1233,956921.944,2661.88612,2342.459785,2981.312454,1947271.067,1713598.539,2180943.595,25.97849139,318.794183,318.794183,0.42530247,0.146039387,83119802,0.405604163
Daviess,Missouri,29061,96325.456,1199,263,963.25456,42625,76775,40900,16564.5,75700,30658.5,142,8905.679012,42,2820.740741,917118.0214,1320731.978,2474.575285,2177.62625,2771.524319,2237849.999,1969308,2506391.999,23.23217654,401.3427653,401.3427653,0.416652858,0.144180494,83119802,0.405604163
Gentry,Missouri,29075,80883.0672,708,358,808.830672,33700,71200,32400,13122,69000,27945,150,9407.407407,45,3022.222222,784945.7605,1319231.254,3771.922059,3319.291412,4224.552706,2104177.015,1851675.773,2356678.257,26.01504972,344.6845212,344.6845212,0.426151645,0.146092996,83119802,0.405604163
Grundy,Missouri,29079,74988.9168,689,296,749.889168,39600,68066,38100,15430.5,65600,26568,109,6836.049383,43,2887.901235,638703.2957,1141237.219,2845.477412,2504.020123,3186.934701,1779940.515,1566347.653,1993533.376,23.73604781,304.3025235,304.3025235,0.405796665,0.141944718,83119802,0.405604163
Holt,Missouri,29087,77407.8832,408,491,774.078832,105200,93100,102700,41593.5,92400,37422,191,11978.76543,52,3492.345679,2794217.594,1800477.404,11803.4241,10387.0132,13219.83499,4594694.997,4043331.598,5146058.397,59.35693895,290.9393026,290.9393026,0.375852291,0.13763197,83119802,0.405604163
Lincoln,Missouri,29113,80080.1408,1162,242,800.801408,45800,75575,44000,17820,74875,30324.375,148,9281.975309,44,2955.061728,986192.6351,1312480.39,2813.343495,2475.742275,3150.944714,2298673.025,2022832.262,2574513.788,28.70465764,319.9874762,319.9874762,0.399584058,0.139553304,83119802,0.405604163
Linn,Missouri,29115,99073.6128,1039,323,990.736128,33800,76700,32400,13122,74400,30132,160,10034.5679,44,2955.061728,819196.7752,1360832.904,2878.471617,2533.055023,3223.888211,2180029.679,1918426.117,2441633.24,22.00414033,413.087479,413.087479,0.416950051,0.145849733,83119802,0.405604163
Livingston,Missouri,29117,87002.7968,847,335,870.027968,40566,106600,39000,15795,103800,42039,161,10097.28395,42,2820.740741,924286.479,1688179.838,4073.965212,3585.089387,4562.841038,2612466.317,2298970.359,2925962.275,30.02738318,337.917062,337.917062,0.38839793,0.138748356,83119802,0.405604163
Monroe,Missouri,29137,102600.0736,1061,335,1026.000736,63040,91775,60600,24543,91425,37027.125,151,9470.123457,49,3290.864198,1319459.045,1699273.719,3991.874015,3512.849134,4470.898897,3018732.764,2656484.832,3380980.696,29.42232552,390.350559,390.350559,0.380458362,0.136345419,83119802,0.405604163
Montgomery,Missouri,29139,73606.6288,795,351,736.066288,52800,78800,51200,20736,78533,31805.865,146,9156.54321,48,3223.703704,1023100.188,1357202.721,4597.031077,4045.387348,5148.674806,2380302.909,2094666.56,2665939.258,32.33815959,265.811071,265.811071,0.361123822,0.133318897,83119802,0.405604163
Nodaway,Missouri,29147,160578.336,1252,338,1605.78336,126600,143100,123680,50090.4,142320,57639.6,160,10034.5679,47,3156.54321,3181175.097,2828706.29,5123.310426,4508.513175,5738.107677,6009881.386,5288695.62,6731067.153,37.42647692,681.1078066,681.1078066,0.424159213,0.14602788,83119802,0.405604163
Pike,Missouri,29163,89552.888,1003,361,895.52888,61240,81650,58660,23757.3,80925,32774.625,152,9532.839506,48,3223.703704,1326859.128,1520614.277,4648.815449,4090.957596,5206.673303,2847473.406,2505776.597,3189170.214,31.79655586,351.6248469,351.6248469,0.392644899,0.138560486,83119802,0.405604163
Platte,Missouri,29165,50603.6416,599,255,506.036416,41725,49540,40575,16432.875,49260,19950.3,156,9783.703704,47,3156.54321,964544.7188,928084.3608,3862.592928,3399.081777,4326.10408,1892629.08,1665513.59,2119744.569,37.40104506,203.4612938,203.4612938,0.402068482,0.141809918,83119802,0.405604163
Putnam,Missouri,29171,56038.4304,649,451,560.384304,18700,29900,16800,6804,29400,11907,141,8842.962963,41,2753.580247,400980.4717,536762.2485,3056.534513,2689.750371,3423.318654,937742.7202,825213.5937,1050271.847,16.73392194,250.2888947,250.2888947,0.446637946,0.152472842,83119802,0.405604163
